Consumption prognosis in MWh,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,
,Hours,NO,SE,FI,DK1,DK2,EE,LV,LT
20-04-2019,23 - 00,12679,12371,9016,1696,1212,828,613,1124
21-04-2019,00 - 01,12098,11929,8627,1622,1120,793,570,982
21-04-2019,01 - 02,11744,11844,8484,1561,1065,772,556,952
21-04-2019,02 - 03,11545,11870,8432,1547,1043,765,547,937
21-04-2019,03 - 04,11456,12031,8463,1555,1043,773,548,941
21-04-2019,04 - 05,11449,12220,8504,1568,1055,782,554,956
21-04-2019,05 - 06,11590,12373,8473,1606,1071,788,561,982
21-04-2019,06 - 07,11732,12488,8333,1644,1099,833,610,1055
21-04-2019,07 - 08,11984,12689,8431,1744,1184,900,681,1154
21-04-2019,08 - 09,12372,12917,8546,1903,1305,959,731,1241
21-04-2019,09 - 10,12455,13249,8591,2005,1384,970,739,1296
21-04-2019,10 - 11,12401,13373,8575,2049,1418,957,736,1279
21-04-2019,11 - 12,12263,13218,8471,2029,1414,938,718,1249
21-04-2019,12 - 13,12072,12994,8358,1969,1378,931,709,1219
21-04-2019,13 - 14,11952,12737,8271,1920,1334,916,698,1191
21-04-2019,14 - 15,11836,12518,8212,1883,1301,916,688,1174
21-04-2019,15 - 16,11757,12359,8269,1869,1288,923,682,1161
21-04-2019,16 - 17,11768,12226,8361,1880,1308,947,682,1150
21-04-2019,17 - 18,11896,12365,8438,2001,1359,967,688,1162
21-04-2019,18 - 19,12213,12455,8608,2019,1379,985,698,1189
21-04-2019,19 - 20,12695,12727,8705,1946,1352,1019,714,1220
21-04-2019,20 - 21,13054,13207,8786,1912,1363,1020,743,1253
21-04-2019,21 - 22,13022,13191,9027,1859,1334,952,691,1185
21-04-2019,22 - 23,12898,12716,9019,1787,1261,873,634,1086
21-04-2019,23 - 00,12419,12198,8757,1689,1188,830,593,1007
22-04-2019,00 - 01,10661,11922,8339,1595,1101,768,557,960
22-04-2019,01 - 02,10627,11791,8163,1535,1035,759,543,943
22-04-2019,02 - 03,10639,11840,8139,1524,1010,754,537,933
22-04-2019,03 - 04,10626,11968,8132,1527,1005,752,539,935
22-04-2019,04 - 05,10661,12124,8190,1546,1027,759,544,958
22-04-2019,05 - 06,10634,12355,8248,1600,1054,788,548,1004
22-04-2019,06 - 07,10694,12702,8239,1668,1082,842,607,1044
22-04-2019,07 - 08,10821,13082,8391,1780,1167,912,682,1131
22-04-2019,08 - 09,10961,13429,8451,1949,1286,952,747,1217
22-04-2019,09 - 10,11168,13668,8422,2072,1410,963,781,1286
22-04-2019,10 - 11,11268,13759,8508,2127,1466,953,781,1294
22-04-2019,11 - 12,11250,13658,8501,2116,1446,933,777,1278
22-04-2019,12 - 13,11154,13340,8319,2044,1382,929,771,1264
22-04-2019,13 - 14,11014,13122,8268,2001,1349,907,763,1254
22-04-2019,14 - 15,10980,12840,8188,1976,1332,906,749,1247
22-04-2019,15 - 16,10980,12624,8216,1989,1317,895,743,1238
22-04-2019,16 - 17,10977,12713,8323,2062,1347,886,741,1234
22-04-2019,17 - 18,10977,12841,8395,2239,1410,893,745,1250
22-04-2019,18 - 19,11041,12876,8568,2197,1451,902,755,1268
22-04-2019,19 - 20,11138,13159,8654,2124,1403,913,773,1309
22-04-2019,20 - 21,11303,13655,8577,2053,1366,941,782,1338
22-04-2019,21 - 22,11416,13627,8831,2046,1343,880,721,1233
22-04-2019,22 - 23,11319,13104,8828,1977,1279,815,644,1115
22-04-2019,23 - 00,11016,12698,8466,1880,1188,774,583,1028
23-04-2019,00 - 01,9608,12480,8206,1794,1143,734,582,973
23-04-2019,01 - 02,9493,12351,8057,1762,1095,724,567,955
23-04-2019,02 - 03,9525,12366,8011,1748,1074,717,567,958
23-04-2019,03 - 04,9592,12488,8075,1740,1106,723,581,970
23-04-2019,04 - 05,9749,12696,8272,1798,1139,748,611,1046
23-04-2019,05 - 06,10093,13238,8870,1924,1199,860,700,1239
23-04-2019,06 - 07,11388,14561,9244,2173,1312,985,823,1438
23-04-2019,07 - 08,12299,15720,9389,2502,1507,1104,923,1571
23-04-2019,08 - 09,12445,15903,9372,2650,1607,1130,968,1622
23-04-2019,09 - 10,12276,15655,9229,2651,1640,1117,966,1623
23-04-2019,10 - 11,12168,15438,9129,2719,1673,1103,948,1603
23-04-2019,11 - 12,12062,15085,9032,2728,1671,1074,907,1570
23-04-2019,12 - 13,11742,14768,8868,2673,1640,1086,935,1587
23-04-2019,13 - 14,11559,14516,8757,2674,1629,1060,922,1560
23-04-2019,14 - 15,11482,14290,8615,2622,1607,1055,918,1547
23-04-2019,15 - 16,11503,14176,8559,2512,1572,1021,900,1502
23-04-2019,16 - 17,11477,14026,8582,2471,1549,997,872,1470
23-04-2019,17 - 18,11525,14112,8549,2583,1594,979,854,1447
23-04-2019,18 - 19,11690,14080,8701,2505,1570,987,853,1443
23-04-2019,19 - 20,11936,14163,8798,2382,1508,996,866,1457
23-04-2019,20 - 21,12039,14356,8733,2290,1454,1012,860,1470
23-04-2019,21 - 22,11815,14233,8856,2289,1410,948,775,1332
23-04-2019,22 - 23,10905,13627,8717,2114,1296,856,691,1198
23-04-2019,23 - 00,10139,12958,8322,1972,1155,805,638,1092
24-04-2019,00 - 01,11007,12338,8052,1848,1051,786,605,1017
24-04-2019,01 - 02,10680,12229,7936,1806,1029,772,593,1007
24-04-2019,02 - 03,10543,12236,7909,1791,1058,770,587,1003
24-04-2019,03 - 04,10497,12343,7986,1803,1075,776,599,1002
24-04-2019,04 - 05,10713,12519,8142,1858,1071,801,624,1052
24-04-2019,05 - 06,11132,13045,8660,1974,1121,901,709,1231
24-04-2019,06 - 07,12080,14363,8965,2230,1268,1008,854,1412
24-04-2019,07 - 08,12879,15556,9062,2549,1487,1110,947,1527
24-04-2019,08 - 09,12972,15734,9019,2704,1609,1135,992,1573
24-04-2019,09 - 10,12849,15446,8899,2699,1625,1118,980,1572
24-04-2019,10 - 11,12766,15233,8824,2774,1643,1091,956,1564
24-04-2019,11 - 12,12705,14989,8722,2756,1646,1072,921,1548
24-04-2019,12 - 13,12510,14791,8575,2681,1640,1081,951,1571
24-04-2019,13 - 14,12426,14653,8478,2701,1608,1068,940,1543
24-04-2019,14 - 15,12439,14515,8360,2677,1577,1067,921,1521
24-04-2019,15 - 16,12433,14434,8318,2542,1540,1031,908,1476
24-04-2019,16 - 17,12443,14307,8332,2508,1544,1006,884,1448
24-04-2019,17 - 18,12402,14289,8287,2643,1611,988,881,1419
24-04-2019,18 - 19,12612,14170,8429,2560,1583,987,870,1409
24-04-2019,19 - 20,12663,14199,8491,2470,1518,990,873,1421
24-04-2019,20 - 21,12597,14315,8411,2384,1452,1013,871,1437
24-04-2019,21 - 22,12579,14134,8566,2353,1413,950,786,1269
24-04-2019,22 - 23,12149,13495,8498,2199,1313,865,713,1126
24-04-2019,23 - 00,11366,12789,8209,2028,1178,802,648,1053
25-04-2019,00 - 01,11734,12188,8079,1907,1076,754,600,986
25-04-2019,01 - 02,11360,12037,7982,1860,1016,746,589,978
25-04-2019,02 - 03,11154,12030,7965,1850,990,745,585,978
25-04-2019,03 - 04,11131,12115,8024,1876,1016,750,595,975
25-04-2019,04 - 05,11213,12276,8199,1897,1036,761,622,1036
25-04-2019,05 - 06,11610,12758,8746,1992,1109,860,710,1219
25-04-2019,06 - 07,12191,14124,8873,2203,1276,987,849,1395
25-04-2019,07 - 08,12734,15416,8965,2589,1518,1076,951,1524
25-04-2019,08 - 09,12906,15688,8939,2670,1628,1100,991,1553
25-04-2019,09 - 10,12766,15499,8828,2683,1661,1089,966,1548
25-04-2019,10 - 11,12592,15353,8743,2735,1685,1070,948,1525
25-04-2019,11 - 12,12597,15093,8653,2754,1691,1048,919,1507
25-04-2019,12 - 13,12371,14858,8514,2684,1678,1064,945,1520
25-04-2019,13 - 14,12288,14638,8424,2723,1656,1044,936,1501
25-04-2019,14 - 15,12270,14439,8318,2669,1633,1037,915,1479
25-04-2019,15 - 16,12329,14326,8273,2571,1596,1002,899,1441
25-04-2019,16 - 17,12493,14151,8276,2564,1587,981,874,1408
25-04-2019,17 - 18,12733,14231,8229,2634,1642,967,865,1400
25-04-2019,18 - 19,12912,14167,8340,2540,1599,965,836,1396
25-04-2019,19 - 20,12948,14198,8379,2428,1524,963,831,1396
25-04-2019,20 - 21,13040,14297,8275,2386,1476,985,850,1408
25-04-2019,21 - 22,13097,14080,8447,2315,1438,927,782,1288
25-04-2019,22 - 23,12770,13392,8402,2157,1334,836,704,1154
25-04-2019,23 - 00,12097,12637,8146,1981,1196,782,635,1057
26-04-2019,00 - 01,11508,11985,8021,1822,1078,755,599,1002
26-04-2019,01 - 02,11211,11836,7879,1767,1023,750,588,987
26-04-2019,02 - 03,11076,11816,7851,1755,1015,749,580,980
26-04-2019,03 - 04,11325,11928,7906,1755,1031,750,593,992
26-04-2019,04 - 05,11662,12090,8064,1784,1048,763,622,1028
26-04-2019,05 - 06,12227,12593,8662,1895,1112,869,711,1207
26-04-2019,06 - 07,12881,14053,9077,2128,1277,988,842,1278
26-04-2019,07 - 08,13866,15390,9316,2453,1503,1068,949,1396
26-04-2019,08 - 09,14210,15615,9376,2642,1611,1093,983,1436
26-04-2019,09 - 10,14118,15399,9255,2661,1647,1090,970,1436
26-04-2019,10 - 11,13889,15227,9158,2716,1666,1066,949,1430
26-04-2019,11 - 12,13734,14922,9031,2716,1642,1046,939,1406
26-04-2019,12 - 13,13662,14589,8858,2616,1636,1071,941,1417
26-04-2019,13 - 14,13503,14215,8711,2552,1597,1049,926,1383
26-04-2019,14 - 15,13468,13760,8632,2446,1561,1046,905,1352
26-04-2019,15 - 16,13463,13434,8583,2383,1528,1020,865,1312
26-04-2019,16 - 17,13496,13235,8602,2394,1524,1009,857,1272
26-04-2019,17 - 18,13607,13300,8630,2517,1591,990,828,1246
26-04-2019,18 - 19,13625,13241,8729,2474,1578,993,827,1233
26-04-2019,19 - 20,13613,13212,8715,2343,1514,980,814,1224
26-04-2019,20 - 21,13418,13114,8596,2211,1432,991,844,1245
26-04-2019,21 - 22,13189,12941,8813,2148,1383,929,772,1259
26-04-2019,22 - 23,12661,12566,8697,1994,1300,833,696,1136
26-04-2019,23 - 00,12121,12050,8340,1804,1188,767,634,1070
27-04-2019,00 - 01,12104,11633,8050,1667,1103,740,595,1001
27-04-2019,01 - 02,11776,11466,7857,1622,1030,724,577,959
27-04-2019,02 - 03,11637,11412,7811,1678,990,720,568,949
27-04-2019,03 - 04,11528,11481,7813,1755,976,720,567,951
27-04-2019,04 - 05,11603,11548,7795,1819,977,721,577,959
27-04-2019,05 - 06,11783,11489,7953,1667,994,739,600,1023
27-04-2019,06 - 07,12231,11669,8036,1761,1063,794,664,1124
27-04-2019,07 - 08,12557,12118,8161,1919,1173,868,737,1243
27-04-2019,08 - 09,13178,12739,8237,2091,1332,925,784,1249
27-04-2019,09 - 10,13494,13117,8223,2187,1440,942,813,1259
27-04-2019,10 - 11,13572,13167,8203,2219,1497,928,809,1258
27-04-2019,11 - 12,13340,13015,8143,2179,1509,907,791,1247
27-04-2019,12 - 13,13141,12844,8083,2124,1485,900,798,1334
27-04-2019,13 - 14,13069,12657,8057,2088,1481,889,789,1308
27-04-2019,14 - 15,13049,12475,8071,2048,1443,884,779,1249
27-04-2019,15 - 16,13066,12356,8196,2009,1415,873,763,1272
27-04-2019,16 - 17,13206,12468,8326,2049,1419,872,759,1249
27-04-2019,17 - 18,13552,12715,8456,2184,1475,875,758,1186
27-04-2019,18 - 19,13791,12849,8609,2193,1522,879,749,1235
27-04-2019,19 - 20,13881,12801,8600,2071,1456,892,763,1245
27-04-2019,20 - 21,13791,12861,8471,1988,1379,915,787,1288
27-04-2019,21 - 22,13404,12770,8693,1994,1380,868,745,1211
27-04-2019,22 - 23,12904,12462,8624,1888,1302,805,681,1085
27-04-2019,23 - 00,12494,12090,8250,1763,1223,748,625,1007
28-04-2019,00 - 01,11896,11513,7925,1649,1129,717,588,949
28-04-2019,01 - 02,11488,11312,7800,1573,1047,702,573,934
28-04-2019,02 - 03,11236,11211,7748,1552,1009,699,563,924
28-04-2019,03 - 04,11104,11239,7750,1552,1000,697,564,922
28-04-2019,04 - 05,11033,11272,7694,1568,1005,696,564,931
28-04-2019,05 - 06,11090,11225,7759,1563,1018,709,574,967
28-04-2019,06 - 07,11082,11343,7825,1624,1068,752,630,1041
28-04-2019,07 - 08,11202,11725,8047,1755,1178,820,689,1149
28-04-2019,08 - 09,11524,12308,8258,1932,1304,881,753,1249
28-04-2019,09 - 10,11663,12755,8412,2059,1392,909,775,1274
28-04-2019,10 - 11,11704,13038,8473,2077,1446,896,773,1272
28-04-2019,11 - 12,11621,13141,8436,2082,1453,880,762,1256
28-04-2019,12 - 13,11438,13128,8389,2063,1431,873,753,1249
28-04-2019,13 - 14,11318,12997,8340,2036,1411,853,751,1234
28-04-2019,14 - 15,11176,12808,8320,2002,1388,848,741,1219
28-04-2019,15 - 16,11178,12716,8310,1993,1374,843,740,1212
28-04-2019,16 - 17,11177,12852,8389,2033,1398,845,746,1211
28-04-2019,17 - 18,11402,13121,8481,2200,1482,858,748,1224
28-04-2019,18 - 19,11879,13290,8622,2235,1532,876,748,1238
28-04-2019,19 - 20,12447,13500,8678,2141,1471,889,770,1266
28-04-2019,20 - 21,12794,13681,8605,2076,1416,915,806,1321
28-04-2019,21 - 22,12736,13635,8961,2058,1404,864,765,1235
28-04-2019,22 - 23,12339,13205,8988,1944,1288,788,663,1100
28-04-2019,23 - 00,11871,12582,8641,1836,1168,764,611,1029
29-04-2019,00 - 01,11468,12285,8377,1749,1066,757,573,949
29-04-2019,01 - 02,11240,12113,8243,1696,1025,757,561,934
29-04-2019,02 - 03,11099,12185,8218,1695,1013,751,585,927
29-04-2019,03 - 04,11020,12305,8254,1712,1024,750,569,942
29-04-2019,04 - 05,11027,12539,8401,1756,1047,759,599,992
29-04-2019,05 - 06,11355,13146,9059,1882,1126,873,692,1190
29-04-2019,06 - 07,12147,14603,9450,2250,1297,984,833,1406
29-04-2019,07 - 08,13052,16094,9698,2592,1508,1082,926,1533
29-04-2019,08 - 09,13550,16593,9680,2712,1623,1111,981,1584
29-04-2019,09 - 10,13733,16517,9656,2701,1674,1116,976,1574
29-04-2019,10 - 11,13493,16412,9709,2781,1708,1097,957,1564
29-04-2019,11 - 12,13166,16194,9707,2793,1675,1078,928,1552
29-04-2019,12 - 13,12813,15968,9592,2713,1637,1089,950,1569
29-04-2019,13 - 14,12450,15765,9521,2724,1622,1069,935,1551
29-04-2019,14 - 15,12238,15544,9411,2682,1606,1059,920,1531
29-04-2019,15 - 16,12145,15389,9356,2509,1581,1026,903,1494
29-04-2019,16 - 17,12160,15207,9343,2526,1548,1014,878,1440
29-04-2019,17 - 18,12312,15316,9275,2622,1623,1004,863,1412
29-04-2019,18 - 19,12579,15188,9405,2541,1611,1007,853,1398
29-04-2019,19 - 20,12822,15195,9398,2411,1532,990,848,1388
29-04-2019,20 - 21,12811,15235,9268,2297,1454,1006,869,1343
29-04-2019,21 - 22,12630,15080,9443,2248,1405,951,795,1337
29-04-2019,22 - 23,12095,14385,9283,2138,1316,862,699,1191
29-04-2019,23 - 00,11375,13414,8935,1972,1216,798,622,1083
30-04-2019,00 - 01,11428,12688,8665,1829,1105,737,571,1002
30-04-2019,01 - 02,11064,12460,8486,1768,1051,720,563,985
30-04-2019,02 - 03,10900,12382,8434,1768,1031,719,560,985
30-04-2019,03 - 04,10918,12455,8471,1784,1052,732,574,994
30-04-2019,04 - 05,11036,12632,8599,1842,1095,751,597,1041
30-04-2019,05 - 06,11562,13122,9288,1959,1163,878,691,1223
30-04-2019,06 - 07,12869,14897,9712,2213,1328,1013,815,1314
30-04-2019,07 - 08,14368,16525,9875,2527,1542,1088,918,1434
30-04-2019,08 - 09,14580,16938,9893,2688,1654,1121,950,1474
30-04-2019,09 - 10,14279,16824,9843,2693,1676,1111,962,1465
30-04-2019,10 - 11,14213,16801,9814,2753,1710,1098,939,1458
30-04-2019,11 - 12,13851,16587,9755,2784,1695,1077,911,1430
30-04-2019,12 - 13,13597,16387,9595,2694,1662,1092,943,1436
30-04-2019,13 - 14,13659,16116,9455,2700,1672,1075,920,1416
30-04-2019,14 - 15,13624,15877,9312,2655,1649,1070,921,1392
30-04-2019,15 - 16,13641,15673,9231,2567,1599,1043,905,1348
30-04-2019,16 - 17,13687,15440,9189,2499,1578,1015,874,1313
30-04-2019,17 - 18,13641,15455,9084,2611,1630,1005,857,1293
30-04-2019,18 - 19,13654,15164,9151,2500,1611,999,841,1288
30-04-2019,19 - 20,13750,14963,9084,2420,1552,989,827,1287
30-04-2019,20 - 21,13731,14872,8948,2339,1498,1006,828,1309
30-04-2019,21 - 22,13498,14846,9209,2292,1491,958,787,1185
30-04-2019,22 - 23,12879,14164,9078,2147,1344,876,696,1057
30-04-2019,23 - 00,11965,13335,8688,1957,1216,810,610,1029
1/5/2019,00 - 01,11109,12740,8413,1774,1094,766,583,1008
1/5/2019,01 - 02,11092,12455,8248,1680,1015,752,573,995
1/5/2019,02 - 03,11112,12273,8170,1666,994,750,571,973
1/5/2019,03 - 04,11181,12221,8109,1684,1014,754,570,975
1/5/2019,04 - 05,11203,12249,7993,1744,1062,770,557,973
1/5/2019,05 - 06,11128,12362,8081,1844,1132,895,578,1015
1/5/2019,06 - 07,11214,12583,8160,2055,1278,1010,633,1112
1/5/2019,07 - 08,11379,12900,8311,2279,1471,1099,699,1223
1/5/2019,08 - 09,11599,13166,8449,2429,1568,1120,772,1303
1/5/2019,09 - 10,11912,13521,8500,2479,1629,1107,797,1333
1/5/2019,10 - 11,12090,13751,8512,2531,1661,1089,796,1332
1/5/2019,11 - 12,12092,13872,8466,2526,1647,1066,771,1313
1/5/2019,12 - 13,12028,13826,8435,2434,1637,1069,766,1303
1/5/2019,13 - 14,11924,13770,8388,2437,1566,1049,782,1290
1/5/2019,14 - 15,11841,13597,8415,2412,1577,1041,772,1275
1/5/2019,15 - 16,11846,13516,8506,2356,1576,1006,749,1262
1/5/2019,16 - 17,11817,13559,8569,2380,1584,979,747,1269
1/5/2019,17 - 18,11848,13675,8638,2456,1654,954,747,1282
1/5/2019,18 - 19,11909,13740,8872,2329,1677,954,743,1296
1/5/2019,19 - 20,12005,13685,8874,2275,1622,956,778,1323
1/5/2019,20 - 21,12127,13813,8653,2304,1541,986,820,1366
1/5/2019,21 - 22,12210,13834,8953,2260,1516,933,769,1266
1/5/2019,22 - 23,12154,13578,8921,2142,1398,854,676,1136
1/5/2019,23 - 00,11813,13143,8630,1999,1284,821,614,1046
2/5/2019,00 - 01,11609,12874,8392,1854,1143,726,574,994
2/5/2019,01 - 02,11386,12695,8239,1820,1100,710,565,981
2/5/2019,02 - 03,11441,12660,8190,1811,1110,704,562,984
2/5/2019,03 - 04,11482,12740,8206,1797,1129,706,576,999
2/5/2019,04 - 05,11590,12869,8339,1852,1140,695,601,1043
2/5/2019,05 - 06,11909,13313,8978,1974,1187,719,703,1235
2/5/2019,06 - 07,13081,14675,9396,2269,1356,769,835,1419
2/5/2019,07 - 08,13649,16016,9647,2608,1576,822,941,1527
2/5/2019,08 - 09,13791,16462,9743,2754,1699,869,976,1565
2/5/2019,09 - 10,13801,16440,9735,2753,1739,881,977,1570
2/5/2019,10 - 11,13631,16438,9753,2811,1753,877,953,1553
2/5/2019,11 - 12,13651,16330,9814,2813,1728,858,928,1535
2/5/2019,12 - 13,13455,16210,9731,2733,1726,851,966,1541
2/5/2019,13 - 14,13524,16124,9676,2705,1710,842,939,1518
2/5/2019,14 - 15,13584,16011,9600,2685,1689,835,926,1500
2/5/2019,15 - 16,13728,15993,9547,2606,1653,825,910,1463
2/5/2019,16 - 17,13861,15872,9544,2567,1663,829,874,1423
2/5/2019,17 - 18,14299,15962,9500,2660,1724,831,863,1406
2/5/2019,18 - 19,14478,15880,9594,2554,1709,842,854,1398
2/5/2019,19 - 20,14536,15837,9556,2439,1637,856,852,1398
2/5/2019,20 - 21,14716,15854,9352,2357,1585,875,855,1424
2/5/2019,21 - 22,14693,15709,9512,2352,1600,839,805,1326
2/5/2019,22 - 23,14158,15132,9354,2235,1459,785,721,1181
2/5/2019,23 - 00,13316,14428,8897,2055,1325,746,652,1089
3/5/2019,00 - 01,12903,14105,8824,1894,1221,730,583,1018
3/5/2019,01 - 02,12722,13868,8680,1841,1150,720,568,996
3/5/2019,02 - 03,12852,13823,8657,1847,1133,713,561,992
3/5/2019,03 - 04,13184,13898,8680,1866,1152,724,578,1001
3/5/2019,04 - 05,13563,14069,8827,1932,1154,742,600,1048
3/5/2019,05 - 06,14185,14567,9440,2031,1207,844,706,1230
3/5/2019,06 - 07,15236,16163,9906,2295,1372,989,835,1402
3/5/2019,07 - 08,16287,17733,10204,2596,1607,1108,951,1509
3/5/2019,08 - 09,16716,18162,10329,2776,1726,1143,974,1546
3/5/2019,09 - 10,16442,18080,10355,2752,1750,1150,970,1539
3/5/2019,10 - 11,16157,17992,10353,2804,1763,1141,972,1526
3/5/2019,11 - 12,15904,17796,10332,2758,1731,1124,941,1501
3/5/2019,12 - 13,15794,17576,10258,2655,1716,1144,963,1518
3/5/2019,13 - 14,15659,17223,10194,2630,1665,1129,952,1489
3/5/2019,14 - 15,15685,16805,10109,2469,1603,1118,925,1461
3/5/2019,15 - 16,15613,16549,10121,2396,1578,1085,927,1427
3/5/2019,16 - 17,15567,16343,10107,2402,1587,1047,897,1400
3/5/2019,17 - 18,15561,16354,10058,2556,1634,1028,882,1378
3/5/2019,18 - 19,15687,16185,10081,2515,1666,1014,867,1362
3/5/2019,19 - 20,15726,16027,10037,2425,1610,998,852,1353
3/5/2019,20 - 21,15571,15796,9857,2293,1543,999,854,1382
3/5/2019,21 - 22,15402,15614,10061,2268,1516,936,811,1308
3/5/2019,22 - 23,14947,15154,9914,2174,1410,864,728,1165
3/5/2019,23 - 00,14254,14558,9513,1960,1318,810,641,1067
4/5/2019,00 - 01,13269,13850,9352,1867,1217,750,599,1034
4/5/2019,01 - 02,13102,13562,9164,1793,1159,726,583,1004
4/5/2019,02 - 03,13076,13464,9113,1754,1142,721,576,994
4/5/2019,03 - 04,13136,13451,9103,1724,1132,716,578,998
4/5/2019,04 - 05,13339,13383,9053,1739,1131,714,582,1002
4/5/2019,05 - 06,13561,13279,9221,1816,1138,737,612,1063
4/5/2019,06 - 07,14042,13424,9342,1918,1226,785,673,1163
4/5/2019,07 - 08,14376,13919,9582,2085,1353,862,764,1270
4/5/2019,08 - 09,14876,14626,9770,2240,1490,912,826,1279
4/5/2019,09 - 10,15250,15157,9858,2274,1552,928,840,1210
4/5/2019,10 - 11,15324,15297,9899,2229,1599,918,835,1251
4/5/2019,11 - 12,15066,15244,9813,2231,1577,907,819,1277
4/5/2019,12 - 13,14771,15130,9760,2210,1552,891,817,1280
4/5/2019,13 - 14,14646,14895,9709,2202,1521,884,808,1189
4/5/2019,14 - 15,14486,14750,9697,2175,1472,877,799,1290
4/5/2019,15 - 16,14380,14621,9741,2157,1444,870,787,1277
4/5/2019,16 - 17,14392,14647,9836,2166,1447,870,778,1272
4/5/2019,17 - 18,14701,14790,9936,2298,1506,881,771,1270
4/5/2019,18 - 19,15041,14879,10040,2248,1513,888,770,1276
4/5/2019,19 - 20,15164,14751,9933,2154,1489,901,780,1278
4/5/2019,20 - 21,15024,14700,9750,1991,1418,917,787,1311
4/5/2019,21 - 22,14683,14684,10017,1965,1421,866,769,1267
4/5/2019,22 - 23,14156,14405,9944,1935,1362,798,705,1154
4/5/2019,23 - 00,13742,14029,9505,1794,1283,737,627,1062
5/5/2019,00 - 01,12998,13600,9133,1678,1184,716,588,995
5/5/2019,01 - 02,12769,13397,8997,1643,1122,712,571,975
5/5/2019,02 - 03,12685,13241,8915,1620,1099,711,564,965
5/5/2019,03 - 04,12668,13222,8810,1632,1102,707,562,964
5/5/2019,04 - 05,12772,13162,8710,1664,1106,705,561,961
5/5/2019,05 - 06,12871,13001,8795,1684,1097,718,587,1002
5/5/2019,06 - 07,12872,13084,8833,1766,1157,767,635,1085
5/5/2019,07 - 08,13073,13399,9018,1875,1251,825,715,1204
5/5/2019,08 - 09,13651,13950,9188,2062,1382,882,778,1275
5/5/2019,09 - 10,14021,14374,9319,2151,1462,899,796,1309
5/5/2019,10 - 11,14126,14650,9365,2174,1500,898,788,1300
5/5/2019,11 - 12,14074,14742,9329,2168,1493,889,781,1281
5/5/2019,12 - 13,13834,14711,9214,2174,1472,880,772,1264
5/5/2019,13 - 14,13654,14600,9148,2142,1442,863,764,1243
5/5/2019,14 - 15,13532,14437,9109,2106,1423,853,756,1232
5/5/2019,15 - 16,13529,14379,9082,2057,1396,851,746,1228
5/5/2019,16 - 17,13535,14454,9105,2072,1416,848,748,1235
5/5/2019,17 - 18,13815,14624,9202,2259,1502,864,750,1250
5/5/2019,18 - 19,14251,14723,9308,2275,1530,879,754,1264
5/5/2019,19 - 20,14791,14802,9300,2166,1480,896,767,1283
5/5/2019,20 - 21,14952,14856,9179,2098,1459,919,780,1320
5/5/2019,21 - 22,14920,14773,9550,2051,1415,874,761,1267
5/5/2019,22 - 23,14432,14453,9550,1995,1320,816,683,1130
5/5/2019,23 - 00,13875,13799,8723,1904,1222,770,610,1030
6/5/2019,00 - 01,13461,13479,8913,1804,1137,778,571,966
6/5/2019,01 - 02,13334,13312,8776,1771,1072,760,577,953
6/5/2019,02 - 03,13385,13315,8723,1767,1044,744,573,949
6/5/2019,03 - 04,13626,13310,8697,1786,1071,746,577,963
6/5/2019,04 - 05,13785,13379,8811,1832,1090,773,580,1001
6/5/2019,05 - 06,14322,13776,9470,1931,1155,868,598,1210
6/5/2019,06 - 07,15588,14929,9936,2323,1370,1005,641,1228
6/5/2019,07 - 08,16893,16138,10177,2676,1599,1116,717,1354
6/5/2019,08 - 09,17256,16669,10297,2762,1724,1145,781,1403
6/5/2019,09 - 10,17253,16739,10175,2787,1758,1141,817,1399
6/5/2019,10 - 11,17025,16732,10064,2835,1786,1126,810,1391
6/5/2019,11 - 12,16504,16648,10018,2811,1763,1105,786,1370
6/5/2019,12 - 13,16228,16507,9943,2781,1746,1115,783,1382
6/5/2019,13 - 14,16180,16369,9855,2777,1729,1097,787,1365
6/5/2019,14 - 15,16136,16223,9782,2722,1692,1083,771,1510
6/5/2019,15 - 16,16149,16140,9698,2586,1648,1065,766,1457
6/5/2019,16 - 17,16213,16008,9648,2584,1605,1032,761,1420
6/5/2019,17 - 18,16273,16026,9574,2688,1719,1025,760,1416
6/5/2019,18 - 19,16380,15887,9672,2609,1704,1022,762,1242
6/5/2019,19 - 20,16474,15829,9615,2507,1618,1024,762,1234
6/5/2019,20 - 21,16514,15760,9394,2355,1552,1025,806,1411
6/5/2019,21 - 22,16460,15644,9558,2277,1516,962,770,1337
6/5/2019,22 - 23,15969,15130,9421,2238,1417,882,681,1175
6/5/2019,23 - 00,15156,14422,8937,2065,1306,825,593,1060
7/5/2019,00 - 01,13862,13637,8366,1907,1182,751,567,1020
7/5/2019,01 - 02,13517,13459,8217,1825,1086,747,555,1007
7/5/2019,02 - 03,13339,13398,8264,1838,1120,743,552,1002
7/5/2019,03 - 04,13379,13431,8240,1870,1146,743,562,1012
7/5/2019,04 - 05,13543,13464,8376,1933,1157,755,579,1047
7/5/2019,05 - 06,14095,13748,9075,2046,1210,862,674,1242
7/5/2019,06 - 07,15655,14799,9461,2333,1428,992,808,1419
7/5/2019,07 - 08,17389,15870,9717,2662,1648,1091,929,1527
7/5/2019,08 - 09,17551,16252,9783,2784,1730,1117,970,1571
7/5/2019,09 - 10,17236,16246,9728,2781,1759,1109,966,1561
7/5/2019,10 - 11,17047,16226,9707,2821,1762,1088,955,1552
