Wind power DK prognosis in MWh,,,
Data was last updated 31-12-2019,,,
,Hours,DK1,DK2
22-06-2019,23 - 00,268,26
23-06-2019,00 - 01,256,44
23-06-2019,01 - 02,234,46
23-06-2019,02 - 03,232,60
23-06-2019,03 - 04,216,77
23-06-2019,04 - 05,201,84
23-06-2019,05 - 06,191,93
23-06-2019,06 - 07,184,98
23-06-2019,07 - 08,170,116
23-06-2019,08 - 09,176,142
23-06-2019,09 - 10,180,114
23-06-2019,10 - 11,160,110
23-06-2019,11 - 12,130,111
23-06-2019,12 - 13,118,99
23-06-2019,13 - 14,109,101
23-06-2019,14 - 15,109,98
23-06-2019,15 - 16,130,115
23-06-2019,16 - 17,167,128
23-06-2019,17 - 18,203,135
23-06-2019,18 - 19,243,148
23-06-2019,19 - 20,271,127
23-06-2019,20 - 21,277,126
23-06-2019,21 - 22,323,116
23-06-2019,22 - 23,371,117
23-06-2019,23 - 00,418,112
24-06-2019,00 - 01,412,102
24-06-2019,01 - 02,465,106
24-06-2019,02 - 03,551,113
24-06-2019,03 - 04,641,122
24-06-2019,04 - 05,702,123
24-06-2019,05 - 06,678,117
24-06-2019,06 - 07,703,93
24-06-2019,07 - 08,704,110
24-06-2019,08 - 09,756,138
24-06-2019,09 - 10,795,119
24-06-2019,10 - 11,814,121
24-06-2019,11 - 12,804,121
24-06-2019,12 - 13,832,127
24-06-2019,13 - 14,842,151
24-06-2019,14 - 15,854,182
24-06-2019,15 - 16,897,226
24-06-2019,16 - 17,939,255
24-06-2019,17 - 18,957,301
24-06-2019,18 - 19,910,362
24-06-2019,19 - 20,831,383
24-06-2019,20 - 21,799,376
24-06-2019,21 - 22,888,388
24-06-2019,22 - 23,1010,371
24-06-2019,23 - 00,1117,386
25-06-2019,00 - 01,1345,431
25-06-2019,01 - 02,1431,418
25-06-2019,02 - 03,1561,401
25-06-2019,03 - 04,1566,358
25-06-2019,04 - 05,1556,317
25-06-2019,05 - 06,1480,284
25-06-2019,06 - 07,1390,222
25-06-2019,07 - 08,1236,219
25-06-2019,08 - 09,1138,234
25-06-2019,09 - 10,1069,191
25-06-2019,10 - 11,984,166
25-06-2019,11 - 12,940,144
25-06-2019,12 - 13,980,155
25-06-2019,13 - 14,975,175
25-06-2019,14 - 15,922,170
25-06-2019,15 - 16,884,166
25-06-2019,16 - 17,834,161
25-06-2019,17 - 18,751,151
25-06-2019,18 - 19,655,137
25-06-2019,19 - 20,570,130
25-06-2019,20 - 21,528,153
25-06-2019,21 - 22,595,209
25-06-2019,22 - 23,669,245
25-06-2019,23 - 00,718,257
26-06-2019,00 - 01,338,258
26-06-2019,01 - 02,292,263
26-06-2019,02 - 03,277,243
26-06-2019,03 - 04,248,206
26-06-2019,04 - 05,262,166
26-06-2019,05 - 06,331,143
26-06-2019,06 - 07,419,126
26-06-2019,07 - 08,481,112
26-06-2019,08 - 09,636,106
26-06-2019,09 - 10,894,127
26-06-2019,10 - 11,1169,226
26-06-2019,11 - 12,1356,355
26-06-2019,12 - 13,1613,438
26-06-2019,13 - 14,1792,506
26-06-2019,14 - 15,1965,568
26-06-2019,15 - 16,2202,617
26-06-2019,16 - 17,2384,653
26-06-2019,17 - 18,2492,641
26-06-2019,18 - 19,2596,648
26-06-2019,19 - 20,2580,661
26-06-2019,20 - 21,2466,647
26-06-2019,21 - 22,2488,676
26-06-2019,22 - 23,2568,681
26-06-2019,23 - 00,2670,678
27-06-2019,00 - 01,2740,702
27-06-2019,01 - 02,2712,704
27-06-2019,02 - 03,2747,697
27-06-2019,03 - 04,2720,679
27-06-2019,04 - 05,2670,662
27-06-2019,05 - 06,2573,675
27-06-2019,06 - 07,2461,660
27-06-2019,07 - 08,2337,659
27-06-2019,08 - 09,2333,680
27-06-2019,09 - 10,2114,637
27-06-2019,10 - 11,1908,614
27-06-2019,11 - 12,1742,573
27-06-2019,12 - 13,1655,539
27-06-2019,13 - 14,1544,495
27-06-2019,14 - 15,1435,451
27-06-2019,15 - 16,1368,424
27-06-2019,16 - 17,1325,399
27-06-2019,17 - 18,1225,375
27-06-2019,18 - 19,1146,338
27-06-2019,19 - 20,1081,283
27-06-2019,20 - 21,969,247
27-06-2019,21 - 22,905,215
27-06-2019,22 - 23,961,188
27-06-2019,23 - 00,975,179
28-06-2019,00 - 01,827,255
28-06-2019,01 - 02,725,235
28-06-2019,02 - 03,665,222
28-06-2019,03 - 04,591,214
28-06-2019,04 - 05,532,200
28-06-2019,05 - 06,495,181
28-06-2019,06 - 07,443,139
28-06-2019,07 - 08,386,130
28-06-2019,08 - 09,380,118
28-06-2019,09 - 10,353,63
28-06-2019,10 - 11,350,44
28-06-2019,11 - 12,355,43
28-06-2019,12 - 13,383,62
28-06-2019,13 - 14,393,79
28-06-2019,14 - 15,403,76
28-06-2019,15 - 16,386,74
28-06-2019,16 - 17,390,72
28-06-2019,17 - 18,417,68
28-06-2019,18 - 19,467,55
28-06-2019,19 - 20,511,44
28-06-2019,20 - 21,513,40
28-06-2019,21 - 22,537,45
28-06-2019,22 - 23,540,60
28-06-2019,23 - 00,584,70
29-06-2019,00 - 01,729,90
29-06-2019,01 - 02,758,94
29-06-2019,02 - 03,847,100
29-06-2019,03 - 04,968,110
29-06-2019,04 - 05,1033,127
29-06-2019,05 - 06,1040,142
29-06-2019,06 - 07,1011,139
29-06-2019,07 - 08,975,134
29-06-2019,08 - 09,997,161
29-06-2019,09 - 10,953,157
29-06-2019,10 - 11,949,191
29-06-2019,11 - 12,938,216
29-06-2019,12 - 13,946,207
29-06-2019,13 - 14,899,179
29-06-2019,14 - 15,854,160
29-06-2019,15 - 16,840,152
29-06-2019,16 - 17,839,137
29-06-2019,17 - 18,808,112
29-06-2019,18 - 19,739,84
29-06-2019,19 - 20,611,60
29-06-2019,20 - 21,491,47
29-06-2019,21 - 22,421,47
29-06-2019,22 - 23,409,57
29-06-2019,23 - 00,390,61
30-06-2019,00 - 01,500,37
30-06-2019,01 - 02,590,34
30-06-2019,02 - 03,629,39
30-06-2019,03 - 04,650,58
30-06-2019,04 - 05,733,88
30-06-2019,05 - 06,814,121
30-06-2019,06 - 07,919,156
30-06-2019,07 - 08,1016,174
30-06-2019,08 - 09,1176,204
30-06-2019,09 - 10,1366,258
30-06-2019,10 - 11,1620,307
30-06-2019,11 - 12,1850,328
30-06-2019,12 - 13,2065,409
30-06-2019,13 - 14,2214,489
30-06-2019,14 - 15,2412,595
30-06-2019,15 - 16,2681,745
30-06-2019,16 - 17,2836,839
30-06-2019,17 - 18,2853,834
30-06-2019,18 - 19,2742,810
30-06-2019,19 - 20,2475,731
30-06-2019,20 - 21,2116,626
30-06-2019,21 - 22,1858,588
30-06-2019,22 - 23,1767,575
30-06-2019,23 - 00,1803,564
1/7/2019,00 - 01,1862,514
1/7/2019,01 - 02,1870,539
1/7/2019,02 - 03,1918,528
1/7/2019,03 - 04,1899,466
1/7/2019,04 - 05,1826,430
1/7/2019,05 - 06,1748,401
1/7/2019,06 - 07,1735,361
1/7/2019,07 - 08,1847,370
1/7/2019,08 - 09,2144,450
1/7/2019,09 - 10,2246,473
1/7/2019,10 - 11,2394,521
1/7/2019,11 - 12,2568,579
1/7/2019,12 - 13,2819,663
1/7/2019,13 - 14,2983,734
1/7/2019,14 - 15,3085,812
1/7/2019,15 - 16,3176,891
1/7/2019,16 - 17,3201,928
1/7/2019,17 - 18,3161,902
1/7/2019,18 - 19,3088,882
1/7/2019,19 - 20,2880,824
1/7/2019,20 - 21,2683,757
1/7/2019,21 - 22,2644,747
1/7/2019,22 - 23,2705,740
1/7/2019,23 - 00,2785,748
2/7/2019,00 - 01,2812,744
2/7/2019,01 - 02,2865,767
2/7/2019,02 - 03,2964,782
2/7/2019,03 - 04,3047,771
2/7/2019,04 - 05,3030,773
2/7/2019,05 - 06,2962,802
2/7/2019,06 - 07,2934,799
2/7/2019,07 - 08,2963,811
2/7/2019,08 - 09,3195,856
2/7/2019,09 - 10,3202,843
2/7/2019,10 - 11,3212,851
2/7/2019,11 - 12,3142,813
2/7/2019,12 - 13,3177,841
2/7/2019,13 - 14,3182,855
2/7/2019,14 - 15,3189,870
2/7/2019,15 - 16,3252,911
2/7/2019,16 - 17,3290,922
2/7/2019,17 - 18,3253,888
2/7/2019,18 - 19,3191,871
2/7/2019,19 - 20,2962,817
2/7/2019,20 - 21,2606,735
2/7/2019,21 - 22,2345,690
2/7/2019,22 - 23,2229,639
2/7/2019,23 - 00,2214,626
3/7/2019,00 - 01,2022,644
3/7/2019,01 - 02,1909,638
3/7/2019,02 - 03,1891,623
3/7/2019,03 - 04,1910,576
3/7/2019,04 - 05,1846,523
3/7/2019,05 - 06,1847,499
3/7/2019,06 - 07,1946,483
3/7/2019,07 - 08,2118,524
3/7/2019,08 - 09,2412,590
3/7/2019,09 - 10,2425,535
3/7/2019,10 - 11,2473,529
3/7/2019,11 - 12,2527,518
3/7/2019,12 - 13,2676,537
3/7/2019,13 - 14,2791,570
3/7/2019,14 - 15,2887,598
3/7/2019,15 - 16,3036,678
3/7/2019,16 - 17,3141,733
3/7/2019,17 - 18,3149,721
3/7/2019,18 - 19,3124,729
3/7/2019,19 - 20,2931,712
3/7/2019,20 - 21,2633,666
3/7/2019,21 - 22,2441,631
3/7/2019,22 - 23,2385,620
3/7/2019,23 - 00,2394,636
4/7/2019,00 - 01,2331,643
4/7/2019,01 - 02,2171,634
4/7/2019,02 - 03,2062,626
4/7/2019,03 - 04,1978,597
4/7/2019,04 - 05,1901,585
4/7/2019,05 - 06,1894,586
4/7/2019,06 - 07,2021,568
4/7/2019,07 - 08,2194,614
4/7/2019,08 - 09,2484,691
4/7/2019,09 - 10,2645,681
4/7/2019,10 - 11,2865,710
4/7/2019,11 - 12,2945,719
4/7/2019,12 - 13,3068,778
4/7/2019,13 - 14,3112,814
4/7/2019,14 - 15,3124,844
4/7/2019,15 - 16,3173,892
4/7/2019,16 - 17,3153,922
4/7/2019,17 - 18,3107,906
4/7/2019,18 - 19,3054,893
4/7/2019,19 - 20,2842,833
4/7/2019,20 - 21,2593,766
4/7/2019,21 - 22,2466,754
4/7/2019,22 - 23,2419,739
4/7/2019,23 - 00,2389,749
5/7/2019,00 - 01,2541,764
5/7/2019,01 - 02,2297,761
5/7/2019,02 - 03,2065,758
5/7/2019,03 - 04,1815,721
5/7/2019,04 - 05,1555,680
5/7/2019,05 - 06,1320,651
5/7/2019,06 - 07,1096,576
5/7/2019,07 - 08,879,511
5/7/2019,08 - 09,769,502
5/7/2019,09 - 10,639,424
5/7/2019,10 - 11,626,364
5/7/2019,11 - 12,632,335
5/7/2019,12 - 13,702,312
5/7/2019,13 - 14,775,290
5/7/2019,14 - 15,853,291
5/7/2019,15 - 16,946,349
5/7/2019,16 - 17,1056,388
5/7/2019,17 - 18,1113,416
5/7/2019,18 - 19,1207,464
5/7/2019,19 - 20,1248,483
5/7/2019,20 - 21,1191,464
5/7/2019,21 - 22,1066,404
5/7/2019,22 - 23,1057,359
5/7/2019,23 - 00,1090,353
6/7/2019,00 - 01,1232,366
6/7/2019,01 - 02,1180,337
6/7/2019,02 - 03,1126,286
6/7/2019,03 - 04,1013,229
6/7/2019,04 - 05,887,210
6/7/2019,05 - 06,835,204
6/7/2019,06 - 07,868,207
6/7/2019,07 - 08,940,223
6/7/2019,08 - 09,1056,277
6/7/2019,09 - 10,1109,302
6/7/2019,10 - 11,1256,381
6/7/2019,11 - 12,1448,436
6/7/2019,12 - 13,1746,493
6/7/2019,13 - 14,1991,549
6/7/2019,14 - 15,2230,574
6/7/2019,15 - 16,2607,628
6/7/2019,16 - 17,2860,655
6/7/2019,17 - 18,2879,673
6/7/2019,18 - 19,2903,744
6/7/2019,19 - 20,2772,773
6/7/2019,20 - 21,2544,729
6/7/2019,21 - 22,2354,704
6/7/2019,22 - 23,2312,723
6/7/2019,23 - 00,2332,755
7/7/2019,00 - 01,2379,782
7/7/2019,01 - 02,2275,793
7/7/2019,02 - 03,2266,788
7/7/2019,03 - 04,2223,751
7/7/2019,04 - 05,2161,718
7/7/2019,05 - 06,2095,709
7/7/2019,06 - 07,2054,671
7/7/2019,07 - 08,2013,653
7/7/2019,08 - 09,2061,659
7/7/2019,09 - 10,1912,617
7/7/2019,10 - 11,1808,594
7/7/2019,11 - 12,1674,559
7/7/2019,12 - 13,1639,556
7/7/2019,13 - 14,1666,567
7/7/2019,14 - 15,1719,592
7/7/2019,15 - 16,1826,656
7/7/2019,16 - 17,1911,665
7/7/2019,17 - 18,1883,647
7/7/2019,18 - 19,1867,643
7/7/2019,19 - 20,1721,623
7/7/2019,20 - 21,1527,561
7/7/2019,21 - 22,1322,456
7/7/2019,22 - 23,1215,405
7/7/2019,23 - 00,1179,413
8/7/2019,00 - 01,1142,516
8/7/2019,01 - 02,1090,495
8/7/2019,02 - 03,1083,464
8/7/2019,03 - 04,1080,430
8/7/2019,04 - 05,1047,423
8/7/2019,05 - 06,1023,424
8/7/2019,06 - 07,993,401
8/7/2019,07 - 08,1018,384
8/7/2019,08 - 09,1114,395
8/7/2019,09 - 10,1072,343
8/7/2019,10 - 11,1062,325
8/7/2019,11 - 12,1051,328
8/7/2019,12 - 13,1129,300
8/7/2019,13 - 14,1264,287
8/7/2019,14 - 15,1408,294
8/7/2019,15 - 16,1593,350
8/7/2019,16 - 17,1692,384
8/7/2019,17 - 18,1693,421
8/7/2019,18 - 19,1724,438
8/7/2019,19 - 20,1658,405
8/7/2019,20 - 21,1598,381
8/7/2019,21 - 22,1575,370
8/7/2019,22 - 23,1608,440
8/7/2019,23 - 00,1657,486
9/7/2019,00 - 01,1319,382
9/7/2019,01 - 02,1328,373
9/7/2019,02 - 03,1333,367
9/7/2019,03 - 04,1284,359
9/7/2019,04 - 05,1214,345
9/7/2019,05 - 06,1163,327
9/7/2019,06 - 07,1105,292
9/7/2019,07 - 08,1071,310
9/7/2019,08 - 09,1067,354
9/7/2019,09 - 10,964,300
9/7/2019,10 - 11,910,277
9/7/2019,11 - 12,838,282
9/7/2019,12 - 13,834,292
9/7/2019,13 - 14,851,315
9/7/2019,14 - 15,859,331
9/7/2019,15 - 16,909,349
9/7/2019,16 - 17,976,331
9/7/2019,17 - 18,1059,333
9/7/2019,18 - 19,1129,352
9/7/2019,19 - 20,1110,380
9/7/2019,20 - 21,1045,368
9/7/2019,21 - 22,964,358
9/7/2019,22 - 23,918,365
9/7/2019,23 - 00,933,331
10/7/2019,00 - 01,878,318
10/7/2019,01 - 02,868,257
10/7/2019,02 - 03,865,229
10/7/2019,03 - 04,839,222
10/7/2019,04 - 05,795,220
10/7/2019,05 - 06,771,231
10/7/2019,06 - 07,728,211
10/7/2019,07 - 08,726,208
10/7/2019,08 - 09,758,217
10/7/2019,09 - 10,738,196
10/7/2019,10 - 11,729,187
10/7/2019,11 - 12,709,204
10/7/2019,12 - 13,769,246
10/7/2019,13 - 14,826,277
10/7/2019,14 - 15,848,279
10/7/2019,15 - 16,882,292
10/7/2019,16 - 17,837,272
10/7/2019,17 - 18,792,277
10/7/2019,18 - 19,767,275
10/7/2019,19 - 20,694,245
10/7/2019,20 - 21,592,230
10/7/2019,21 - 22,520,225
10/7/2019,22 - 23,475,219
10/7/2019,23 - 00,450,185
11/7/2019,00 - 01,395,142
11/7/2019,01 - 02,381,116
11/7/2019,02 - 03,329,95
11/7/2019,03 - 04,307,80
11/7/2019,04 - 05,281,64
11/7/2019,05 - 06,242,45
11/7/2019,06 - 07,227,25
11/7/2019,07 - 08,213,18
11/7/2019,08 - 09,221,14
11/7/2019,09 - 10,220,13
11/7/2019,10 - 11,231,14
11/7/2019,11 - 12,239,18
11/7/2019,12 - 13,242,28
11/7/2019,13 - 14,246,30
11/7/2019,14 - 15,249,24
11/7/2019,15 - 16,253,24
11/7/2019,16 - 17,245,24
11/7/2019,17 - 18,225,20
11/7/2019,18 - 19,197,18
11/7/2019,19 - 20,157,14
11/7/2019,20 - 21,126,12
11/7/2019,21 - 22,103,12
11/7/2019,22 - 23,96,16
11/7/2019,23 - 00,86,20
12/7/2019,00 - 01,58,25
12/7/2019,01 - 02,57,42
12/7/2019,02 - 03,58,46
12/7/2019,03 - 04,56,31
12/7/2019,04 - 05,61,28
12/7/2019,05 - 06,64,26
12/7/2019,06 - 07,71,25
12/7/2019,07 - 08,78,30
12/7/2019,08 - 09,81,36
12/7/2019,09 - 10,88,41
12/7/2019,10 - 11,92,40
12/7/2019,11 - 12,94,34
12/7/2019,12 - 13,99,28
12/7/2019,13 - 14,97,30
12/7/2019,14 - 15,105,30
12/7/2019,15 - 16,107,33
12/7/2019,16 - 17,87,34
12/7/2019,17 - 18,85,34
12/7/2019,18 - 19,102,32
12/7/2019,19 - 20,119,27
12/7/2019,20 - 21,135,26
12/7/2019,21 - 22,149,21
12/7/2019,22 - 23,163,23
12/7/2019,23 - 00,170,22
13-07-2019,00 - 01,247,17
13-07-2019,01 - 02,254,20
13-07-2019,02 - 03,273,22
13-07-2019,03 - 04,293,21
13-07-2019,04 - 05,292,21
13-07-2019,05 - 06,280,23
13-07-2019,06 - 07,253,22
13-07-2019,07 - 08,237,18
13-07-2019,08 - 09,278,15
13-07-2019,09 - 10,321,18
13-07-2019,10 - 11,349,21
13-07-2019,11 - 12,361,24
13-07-2019,12 - 13,390,40
13-07-2019,13 - 14,430,61
13-07-2019,14 - 15,488,72
13-07-2019,15 - 16,586,90
13-07-2019,16 - 17,676,105
13-07-2019,17 - 18,730,114
13-07-2019,18 - 19,788,114
13-07-2019,19 - 20,772,107
13-07-2019,20 - 21,693,117
13-07-2019,21 - 22,599,137
13-07-2019,22 - 23,589,186
13-07-2019,23 - 00,646,222
14-07-2019,00 - 01,844,239
14-07-2019,01 - 02,820,187
14-07-2019,02 - 03,768,163
14-07-2019,03 - 04,698,153
14-07-2019,04 - 05,642,134
14-07-2019,05 - 06,618,118
14-07-2019,06 - 07,562,94
14-07-2019,07 - 08,503,79
14-07-2019,08 - 09,515,70
14-07-2019,09 - 10,481,48
14-07-2019,10 - 11,420,42
14-07-2019,11 - 12,377,50
14-07-2019,12 - 13,405,59
14-07-2019,13 - 14,429,70
14-07-2019,14 - 15,467,75
14-07-2019,15 - 16,572,71
14-07-2019,16 - 17,734,69
14-07-2019,17 - 18,894,69
14-07-2019,18 - 19,998,81
14-07-2019,19 - 20,1027,94
14-07-2019,20 - 21,984,106
14-07-2019,21 - 22,952,125
14-07-2019,22 - 23,975,160
14-07-2019,23 - 00,1024,185
15-07-2019,00 - 01,937,180
15-07-2019,01 - 02,985,162
15-07-2019,02 - 03,1008,148
15-07-2019,03 - 04,988,148
15-07-2019,04 - 05,958,147
15-07-2019,05 - 06,955,142
15-07-2019,06 - 07,950,138
15-07-2019,07 - 08,974,156
15-07-2019,08 - 09,1050,187
15-07-2019,09 - 10,1003,218
15-07-2019,10 - 11,949,249
15-07-2019,11 - 12,898,292
15-07-2019,12 - 13,932,322
15-07-2019,13 - 14,992,352
15-07-2019,14 - 15,1038,388
15-07-2019,15 - 16,1089,439
15-07-2019,16 - 17,1131,436
15-07-2019,17 - 18,1149,434
15-07-2019,18 - 19,1166,450
15-07-2019,19 - 20,1112,436
15-07-2019,20 - 21,1030,404
15-07-2019,21 - 22,1004,402
15-07-2019,22 - 23,1041,392
15-07-2019,23 - 00,1100,348
16-07-2019,00 - 01,958,298
16-07-2019,01 - 02,901,252
16-07-2019,02 - 03,844,236
16-07-2019,03 - 04,788,216
16-07-2019,04 - 05,750,201
16-07-2019,05 - 06,736,190
16-07-2019,06 - 07,714,168
16-07-2019,07 - 08,695,158
16-07-2019,08 - 09,747,165
16-07-2019,09 - 10,734,161
16-07-2019,10 - 11,692,153
16-07-2019,11 - 12,635,163
16-07-2019,12 - 13,640,169
16-07-2019,13 - 14,671,173
16-07-2019,14 - 15,684,162
16-07-2019,15 - 16,747,184
16-07-2019,16 - 17,777,189
16-07-2019,17 - 18,762,199
16-07-2019,18 - 19,700,210
16-07-2019,19 - 20,604,212
16-07-2019,20 - 21,509,190
16-07-2019,21 - 22,487,175
16-07-2019,22 - 23,540,168
16-07-2019,23 - 00,512,155
17-07-2019,00 - 01,448,89
17-07-2019,01 - 02,374,83
17-07-2019,02 - 03,310,74
17-07-2019,03 - 04,261,62
17-07-2019,04 - 05,214,64
17-07-2019,05 - 06,180,59
17-07-2019,06 - 07,141,45
17-07-2019,07 - 08,110,33
17-07-2019,08 - 09,98,27
17-07-2019,09 - 10,77,17
17-07-2019,10 - 11,63,15
17-07-2019,11 - 12,55,17
17-07-2019,12 - 13,67,22
17-07-2019,13 - 14,90,33
17-07-2019,14 - 15,114,39
17-07-2019,15 - 16,150,41
17-07-2019,16 - 17,174,33
17-07-2019,17 - 18,182,27
17-07-2019,18 - 19,183,22
17-07-2019,19 - 20,178,16
17-07-2019,20 - 21,164,12
17-07-2019,21 - 22,134,8
17-07-2019,22 - 23,105,6
17-07-2019,23 - 00,96,6
18-07-2019,00 - 01,72,6
18-07-2019,01 - 02,63,7
18-07-2019,02 - 03,63,6
18-07-2019,03 - 04,74,6
18-07-2019,04 - 05,85,6
18-07-2019,05 - 06,100,7
18-07-2019,06 - 07,118,8
18-07-2019,07 - 08,134,10
18-07-2019,08 - 09,175,13
18-07-2019,09 - 10,213,20
18-07-2019,10 - 11,247,29
18-07-2019,11 - 12,271,34
18-07-2019,12 - 13,327,42
18-07-2019,13 - 14,374,49
18-07-2019,14 - 15,404,53
18-07-2019,15 - 16,423,66
18-07-2019,16 - 17,422,72
18-07-2019,17 - 18,388,82
18-07-2019,18 - 19,343,105
18-07-2019,19 - 20,313,130
18-07-2019,20 - 21,314,128
18-07-2019,21 - 22,351,139
18-07-2019,22 - 23,401,137
18-07-2019,23 - 00,468,136
19-07-2019,00 - 01,380,229
19-07-2019,01 - 02,355,223
19-07-2019,02 - 03,347,212
19-07-2019,03 - 04,317,183
19-07-2019,04 - 05,298,137
19-07-2019,05 - 06,262,110
19-07-2019,06 - 07,219,93
19-07-2019,07 - 08,168,72
19-07-2019,08 - 09,193,58
19-07-2019,09 - 10,187,51
19-07-2019,10 - 11,177,54
19-07-2019,11 - 12,168,59
19-07-2019,12 - 13,166,70
19-07-2019,13 - 14,174,56
19-07-2019,14 - 15,180,50
19-07-2019,15 - 16,197,48
19-07-2019,16 - 17,219,51
19-07-2019,17 - 18,198,47
19-07-2019,18 - 19,164,45
19-07-2019,19 - 20,134,40
19-07-2019,20 - 21,90,33
19-07-2019,21 - 22,67,26
19-07-2019,22 - 23,69,23
19-07-2019,23 - 00,77,22
20-07-2019,00 - 01,114,22
20-07-2019,01 - 02,175,15
20-07-2019,02 - 03,270,11
20-07-2019,03 - 04,367,6
20-07-2019,04 - 05,480,5
20-07-2019,05 - 06,588,9
20-07-2019,06 - 07,686,20
20-07-2019,07 - 08,777,37
20-07-2019,08 - 09,865,54
20-07-2019,09 - 10,911,78
20-07-2019,10 - 11,961,105
20-07-2019,11 - 12,973,128
20-07-2019,12 - 13,958,142
20-07-2019,13 - 14,971,165
20-07-2019,14 - 15,971,202
20-07-2019,15 - 16,1047,276
20-07-2019,16 - 17,1152,354
20-07-2019,17 - 18,1290,405
20-07-2019,18 - 19,1444,399
20-07-2019,19 - 20,1505,356
20-07-2019,20 - 21,1430,312
20-07-2019,21 - 22,1376,286
20-07-2019,22 - 23,1319,189
20-07-2019,23 - 00,1222,139
21-07-2019,00 - 01,926,194
21-07-2019,01 - 02,858,174
21-07-2019,02 - 03,876,202
21-07-2019,03 - 04,801,202
21-07-2019,04 - 05,728,203
21-07-2019,05 - 06,724,224
21-07-2019,06 - 07,744,247
21-07-2019,07 - 08,764,239
21-07-2019,08 - 09,832,271
21-07-2019,09 - 10,860,320
21-07-2019,10 - 11,904,392
21-07-2019,11 - 12,1016,453
21-07-2019,12 - 13,1248,544
21-07-2019,13 - 14,1564,626
21-07-2019,14 - 15,1742,667
21-07-2019,15 - 16,1883,701
21-07-2019,16 - 17,1944,724
21-07-2019,17 - 18,1969,720
21-07-2019,18 - 19,1869,678
21-07-2019,19 - 20,1700,604
21-07-2019,20 - 21,1446,480
21-07-2019,21 - 22,1314,416
21-07-2019,22 - 23,1246,364
21-07-2019,23 - 00,1267,318
22-07-2019,00 - 01,1149,253
22-07-2019,01 - 02,1051,228
22-07-2019,02 - 03,956,190
22-07-2019,03 - 04,862,166
22-07-2019,04 - 05,824,152
22-07-2019,05 - 06,799,140
22-07-2019,06 - 07,793,130
22-07-2019,07 - 08,800,128
22-07-2019,08 - 09,901,135
22-07-2019,09 - 10,1010,127
22-07-2019,10 - 11,1197,129
22-07-2019,11 - 12,1374,127
22-07-2019,12 - 13,1478,120
22-07-2019,13 - 14,1710,122
22-07-2019,14 - 15,1794,137
22-07-2019,15 - 16,1782,150
22-07-2019,16 - 17,1747,161
22-07-2019,17 - 18,1699,177
22-07-2019,18 - 19,1559,193
22-07-2019,19 - 20,1371,214
22-07-2019,20 - 21,1170,214
22-07-2019,21 - 22,1067,233
22-07-2019,22 - 23,1028,235
22-07-2019,23 - 00,1017,221
23-07-2019,00 - 01,988,319
23-07-2019,01 - 02,974,302
23-07-2019,02 - 03,935,271
23-07-2019,03 - 04,850,248
23-07-2019,04 - 05,760,226
23-07-2019,05 - 06,654,209
23-07-2019,06 - 07,547,177
23-07-2019,07 - 08,474,161
23-07-2019,08 - 09,453,148
23-07-2019,09 - 10,435,125
23-07-2019,10 - 11,440,109
23-07-2019,11 - 12,452,102
23-07-2019,12 - 13,456,105
23-07-2019,13 - 14,435,109
23-07-2019,14 - 15,411,114
23-07-2019,15 - 16,394,108
23-07-2019,16 - 17,356,91
23-07-2019,17 - 18,322,72
23-07-2019,18 - 19,267,53
23-07-2019,19 - 20,206,42
23-07-2019,20 - 21,135,27
23-07-2019,21 - 22,98,25
23-07-2019,22 - 23,81,19
23-07-2019,23 - 00,74,15
24-07-2019,00 - 01,95,16
24-07-2019,01 - 02,85,13
24-07-2019,02 - 03,77,11
24-07-2019,03 - 04,66,10
24-07-2019,04 - 05,67,8
24-07-2019,05 - 06,85,7
24-07-2019,06 - 07,95,6
24-07-2019,07 - 08,105,4
24-07-2019,08 - 09,115,3
24-07-2019,09 - 10,131,3
24-07-2019,10 - 11,143,4
24-07-2019,11 - 12,156,8
24-07-2019,12 - 13,194,15
24-07-2019,13 - 14,229,23
24-07-2019,14 - 15,257,26
24-07-2019,15 - 16,295,32
24-07-2019,16 - 17,338,48
24-07-2019,17 - 18,367,72
24-07-2019,18 - 19,400,92
24-07-2019,19 - 20,499,101
24-07-2019,20 - 21,580,114
24-07-2019,21 - 22,720,128
24-07-2019,22 - 23,902,159
24-07-2019,23 - 00,988,201
25-07-2019,00 - 01,1065,253
25-07-2019,01 - 02,1073,258
25-07-2019,02 - 03,1041,265
25-07-2019,03 - 04,945,258
25-07-2019,04 - 05,882,245
25-07-2019,05 - 06,786,240
25-07-2019,06 - 07,701,217
25-07-2019,07 - 08,601,182
25-07-2019,08 - 09,527,160
25-07-2019,09 - 10,430,145
25-07-2019,10 - 11,396,144
25-07-2019,11 - 12,409,147
25-07-2019,12 - 13,414,158
25-07-2019,13 - 14,432,178
25-07-2019,14 - 15,402,218
25-07-2019,15 - 16,398,247
25-07-2019,16 - 17,417,273
25-07-2019,17 - 18,454,286
25-07-2019,18 - 19,499,308
25-07-2019,19 - 20,501,308
25-07-2019,20 - 21,498,247
25-07-2019,21 - 22,561,214
25-07-2019,22 - 23,651,164
25-07-2019,23 - 00,797,152
26-07-2019,00 - 01,876,120
26-07-2019,01 - 02,845,113
26-07-2019,02 - 03,833,114
26-07-2019,03 - 04,802,126
26-07-2019,04 - 05,780,130
26-07-2019,05 - 06,753,142
26-07-2019,06 - 07,748,115
26-07-2019,07 - 08,733,112
26-07-2019,08 - 09,735,105
