iter	Passed	Remaining
952	8725	430
953	8735	421
954	8744	412
955	8756	402
956	8762	393
957	8769	384
958	8781	375
959	8794	366
960	8804	357
961	8817	348
962	8824	339
963	8833	329
964	8845	320
965	8855	311
966	8868	302
967	8876	293
968	8883	284
969	8890	274
970	8900	265
971	8911	256
972	8924	247
973	8937	238
974	8951	229
975	8962	220
976	8969	211
977	8979	202
978	8988	192
979	8996	183
980	9012	174
981	9029	165
982	9042	156
983	9049	147
984	9066	138
985	9083	128
986	9101	119
987	9122	110
988	9144	101
989	9163	92
990	9185	83
991	9203	74
992	9220	64
993	9230	55
994	9239	46
995	9250	37
996	9260	27
997	9271	18
998	9283	9
999	9295	0
